"tall","all_regi","all_enty","all_enty_1","all_te","Val"
"2005","EUR","pegas","sehe","gashp",0.0121588018100388
"2005","EUR","pecoal","seliqfos","coalftrec",0.000514734162997225
"2005","EUR","pecoal","seliqfos","coalftcrec",0
"2005","EUR","pecoal","sesofos","coaltr",0.101809869342946
"2005","EUR","pecoal","seel","igcc",0
"2005","EUR","pecoal","seel","igccc",0
"2005","EUR","pecoal","seel","pc",0.0906332994460717
"2005","EUR","pecoal","seel","pcc",0
"2005","EUR","pecoal","seel","pco",0
"2005","EUR","pecoal","seel","coalchp",0.0290802808090351
"2005","EUR","pecoal","seh2","coalh2",0.000314313807148182
"2005","EUR","pecoal","seh2","coalh2c",0
"2005","EUR","pecoal","segafos","coalgas",0.0122384089219421
"2005","EUR","pecoal","sehe","coalhp",0.0055664341539268
"2005","EUR","peur","seel","tnrs",0.121040330171309
"2005","EUR","peur","seel","fnrs",0
"2005","EUR","pegeo","seel","geohdr",0.000654761103795428
"2005","EUR","pegeo","sehe","geohe",0.000875107095442142
"2005","EUR","pehyd","seel","hydro",0.0380112147969144
"2005","EUR","pewin","seel","wind",0.00854732167070476
"2005","EUR","pewin","seel","windoff",0
"2005","EUR","pesol","seel","spv",0.000177126496861103
"2005","EUR","pesol","seel","csp",0
"2005","EUR","pesol","sehe","solhe",0
"2005","EUR","pebiolc","seliqbio","bioftrec",0
"2005","EUR","pebiolc","seliqbio","bioftcrec",0
"2005","EUR","pebiolc","seliqbio","bioethl",0
"2005","EUR","pebiolc","sesobio","biotr",0.00650508707131499
"2005","EUR","pebiolc","sesobio","biotrmod",0.0811471904954389
"2005","EUR","pebiolc","seel","biochp",0.00474298522377577
"2005","EUR","pebiolc","seel","bioigcc",0.00546592823390955
"2005","EUR","pebiolc","seel","bioigccc",0
"2005","EUR","pebiolc","seh2","bioh2",0
"2005","EUR","pebiolc","seh2","bioh2c",0
"2005","EUR","pebiolc","segabio","biogas",0.000805641727200785
"2005","EUR","pebiolc","segabio","biogasc",0
"2005","EUR","pebiolc","sehe","biohp",0.00462848312886538
"2005","EUR","pebios","seliqbio","bioeths",0.000656455026325851
"2005","EUR","pebioil","seliqbio","biodiesel",0.00462020078907733
"2005","EUR","seel","seh2","elh2",0
"2005","EUR","seel","seh2","elh2VRE",0
"2005","EUR","seh2","seliqbio","MeOH",0
"2005","EUR","seh2","seliqsyn","MeOH",0
"2005","EUR","seh2","seel","h2turb",0
"2005","EUR","seh2","seel","h2turbVRE",0
"2005","EUR","seh2","segabio","h22ch4",0
"2005","EUR","seh2","segasyn","h22ch4",0
"2005","NEU","peoil","seliqfos","refliq",0.0849530567819066
"2005","NEU","peoil","seel","dot",0.000565095785594011
"2005","NEU","pegas","seliqfos","gasftrec",0
"2005","NEU","pegas","seliqfos","gasftcrec",0
"2005","NEU","pegas","seel","ngcc",0.0071360883889906
"2005","NEU","pegas","seel","ngccc",0
"2005","NEU","pegas","seel","ngt",0.000792898709887844
"2005","NEU","pegas","seel","gaschp",0.000779894559713264
"2005","NEU","pegas","seh2","gash2",3.91427403975799E-5
"2005","NEU","pegas","seh2","gash2c",0
"2005","NEU","pegas","segafos","gastr",0.0196819728410097
"2005","NEU","pegas","sehe","gashp",0.000675891961800741
"2005","NEU","pecoal","seliqfos","coalftrec",0
"2005","NEU","pecoal","seliqfos","coalftcrec",0
"2005","NEU","pecoal","sesofos","coaltr",0.0200187042181659
"2005","NEU","pecoal","seel","igcc",0
"2005","NEU","pecoal","seel","igccc",0
"2005","NEU","pecoal","seel","pc",0.00764777476623037
"2005","NEU","pecoal","seel","pcc",0
"2005","NEU","pecoal","seel","pco",0
"2005","NEU","pecoal","seel","coalchp",0.00210317278011689
"2005","NEU","pecoal","seh2","coalh2",1.67754601703914E-5
"2005","NEU","pecoal","seh2","coalh2c",0
"2005","NEU","pecoal","segafos","coalgas",0.00107315321806604
"2005","NEU","pecoal","sehe","coalhp",0.000119217134066748
"2005","NEU","peur","seel","tnrs",0.00271006730884092
"2005","NEU","peur","seel","fnrs",0
"2005","NEU","pegeo","seel","geohdr",0.000203420549899467
"2005","NEU","pegeo","sehe","geohe",0.00161583489820132
"2005","NEU","pehyd","seel","hydro",0.0279084328318335
"2005","NEU","pewin","seel","wind",6.57169128099877E-5
"2005","NEU","pewin","seel","windoff",0
"2005","NEU","pesol","seel","spv",2.43826001591827E-6
"2005","NEU","pesol","seel","csp",0
"2005","NEU","pesol","sehe","solhe",0
"2005","NEU","pebiolc","seliqbio","bioftrec",0
"2005","NEU","pebiolc","seliqbio","bioftcrec",0
"2005","NEU","pebiolc","seliqbio","bioethl",0
"2005","NEU","pebiolc","sesobio","biotr",0.00651502489922358
"2005","NEU","pebiolc","sesobio","biotrmod",0.00592854623861049
"2005","NEU","pebiolc","seel","biochp",0.000217469571895949
"2005","NEU","pebiolc","seel","bioigcc",8.63840691353902E-5
"2005","NEU","pebiolc","seel","bioigccc",0
"2005","NEU","pebiolc","seh2","bioh2",0
"2005","NEU","pebiolc","seh2","bioh2c",0
"2005","NEU","pebiolc","segabio","biogas",6.85206953624367E-5
"2005","NEU","pebiolc","segabio","biogasc",0
"2005","NEU","pebiolc","sehe","biohp",9.6555893688729E-5
"2005","NEU","pebios","seliqbio","bioeths",1.61915443288152E-6
"2005","NEU","pebioil","seliqbio","biodiesel",8.09538545448812E-6
"2005","NEU","seel","seh2","elh2",0
"2005","NEU","seel","seh2","elh2VRE",0
"2005","NEU","seh2","seliqbio","MeOH",0
"2005","NEU","seh2","seliqsyn","MeOH",0
"2005","NEU","seh2","seel","h2turb",0
"2005","NEU","seh2","seel","h2turbVRE",0
"2005","NEU","seh2","segabio","h22ch4",0
"2005","NEU","seh2","segasyn","h22ch4",0
"2005","MEA","peoil","seliqfos","refliq",0.38780783054674
"2005","MEA","peoil","seel","dot",0.0283025825106431
"2005","MEA","pegas","seliqfos","gasftrec",0
"2005","MEA","pegas","seliqfos","gasftcrec",0
"2005","MEA","pegas","seel","ngcc",0.0589250422992121
"2005","MEA","pegas","seel","ngccc",0
"2005","MEA","pegas","seel","ngt",0.003101318015748
"2005","MEA","pegas","seel","gaschp",0
"2005","MEA","pegas","seh2","gash2",1.97064487281598E-5
"2005","MEA","pegas","seh2","gash2c",0
"2005","MEA","pegas","segafos","gastr",0.149655837204481
"2005","MEA","pegas","sehe","gashp",0
"2005","MEA","pecoal","seliqfos","coalftrec",0
"2005","MEA","pecoal","seliqfos","coalftcrec",0
"2005","MEA","pecoal","sesofos","coaltr",0.0070266710481417
"2005","MEA","pecoal","seel","igcc",0
"2005","MEA","pecoal","seel","igccc",0
"2005","MEA","pecoal","seel","pc",0.00593183402164719
"2005","MEA","pecoal","seel","pcc",0
"2005","MEA","pecoal","seel","pco",0
"2005","MEA","pecoal","seel","coalchp",0
"2005","MEA","pecoal","seh2","coalh2",8.44562088349707E-6
"2005","MEA","pecoal","seh2","coalh2c",0
"2005","MEA","pecoal","segafos","coalgas",0.000750053225579069
"2005","MEA","pecoal","sehe","coalhp",0
"2005","MEA","peur","seel","tnrs",0
"2005","MEA","peur","seel","fnrs",0
"2005","MEA","pegeo","seel","geohdr",0
"2005","MEA","pegeo","sehe","geohe",0
"2005","MEA","pehyd","seel","hydro",0.00517355044456382
"2005","MEA","pewin","seel","wind",0.00010613336399394
"2005","MEA","pewin","seel","windoff",0
"2005","MEA","pesol","seel","spv",0
"2005","MEA","pesol","seel","csp",0
"2005","MEA","pesol","sehe","solhe",0
"2005","MEA","pebiolc","seliqbio","bioftrec",0
"2005","MEA","pebiolc","seliqbio","bioftcrec",0
"2005","MEA","pebiolc","seliqbio","bioethl",0
"2005","MEA","pebiolc","sesobio","biotr",0.0110996366761278
"2005","MEA","pebiolc","sesobio","biotrmod",0.0062472543088305
"2005","MEA","pebiolc","seel","biochp",0
"2005","MEA","pebiolc","seel","bioigcc",5.99623525389492E-7
"2005","MEA","pebiolc","seel","bioigccc",0
"2005","MEA","pebiolc","seh2","bioh2",0
"2005","MEA","pebiolc","seh2","bioh2c",0
"2005","MEA","pebiolc","segabio","biogas",0
"2005","MEA","pebiolc","segabio","biogasc",0
"2005","MEA","pebiolc","sehe","biohp",0
"2005","MEA","pebios","seliqbio","bioeths",0
"2005","MEA","pebioil","seliqbio","biodiesel",0
"2005","MEA","seel","seh2","elh2",0
"2005","MEA","seel","seh2","elh2VRE",0
"2005","MEA","seh2","seliqbio","MeOH",0
"2005","MEA","seh2","seliqsyn","MeOH",0
"2005","MEA","seh2","seel","h2turb",0
"2005","MEA","seh2","seel","h2turbVRE",0
"2005","MEA","seh2","segabio","h22ch4",0
"2005","MEA","seh2","segasyn","h22ch4",0
"2005","REF","peoil","seliqfos","refliq",0.215162329622326
"2005","REF","peoil","seel","dot",0.000435100466656044
"2005","REF","pegas","seliqfos","gasftrec",0
"2005","REF","pegas","seliqfos","gasftcrec",0
"2005","REF","pegas","seel","ngcc",0.00585780289855951
"2005","REF","pegas","seel","ngccc",0
"2005","REF","pegas","seel","ngt",0.00103372992327521
"2005","REF","pegas","seel","gaschp",0.0582315832084693
"2005","REF","pegas","seh2","gash2",2.97889256066067E-6
"2005","REF","pegas","seh2","gash2c",0
"2005","REF","pegas","segafos","gastr",0.236789966309206
"2005","REF","pegas","sehe","gashp",0.112397707330341
"2005","REF","pecoal","seliqfos","coalftrec",0
"2005","REF","pecoal","seliqfos","coalftcrec",0
"2005","REF","pecoal","sesofos","coaltr",0.0887844389227063
"2005","REF","pecoal","seel","igcc",0
"2005","REF","pecoal","seel","igccc",0
"2005","REF","pecoal","seel","pc",0.00563089473414036
"2005","REF","pecoal","seel","pcc",0
"2005","REF","pecoal","seel","pco",0
"2005","REF","pecoal","seel","coalchp",0.0244900939325998
"2005","REF","pecoal","seh2","coalh2",1.27666824028314E-6
"2005","REF","pecoal","seh2","coalh2c",0
"2005","REF","pecoal","segafos","coalgas",0.00903603902400526
"2005","REF","pecoal","sehe","coalhp",0.0208393307728237
"2005","REF","peur","seel","tnrs",0.0269677145427722
"2005","REF","peur","seel","fnrs",0
"2005","REF","pegeo","seel","geohdr",4.5894312150496E-5
"2005","REF","pegeo","sehe","geohe",1.62654781590899E-5
"2005","REF","pehyd","seel","hydro",0.0271685301427673
"2005","REF","pewin","seel","wind",5.14911794859223E-6
"2005","REF","pewin","seel","windoff",0
"2005","REF","pesol","seel","spv",0
"2005","REF","pesol","seel","csp",0
"2005","REF","pesol","sehe","solhe",0
"2005","REF","pebiolc","seliqbio","bioftrec",0
"2005","REF","pebiolc","seliqbio","bioftcrec",0
"2005","REF","pebiolc","seliqbio","bioethl",0
"2005","REF","pebiolc","sesobio","biotr",0.00333373937728172
"2005","REF","pebiolc","sesobio","biotrmod",0.00470833111671201
"2005","REF","pebiolc","seel","biochp",0.000295290720617094
"2005","REF","pebiolc","seel","bioigcc",0
"2005","REF","pebiolc","seel","bioigccc",0
"2005","REF","pebiolc","seh2","bioh2",0
"2005","REF","pebiolc","seh2","bioh2c",0
"2005","REF","pebiolc","segabio","biogas",0
"2005","REF","pebiolc","segabio","biogasc",0
"2005","REF","pebiolc","sehe","biohp",0.00372804774946112
"2005","REF","pebios","seliqbio","bioeths",0
"2005","REF","pebioil","seliqbio","biodiesel",0
"2005","REF","seel","seh2","elh2",0
"2005","REF","seel","seh2","elh2VRE",0
"2005","REF","seh2","seliqbio","MeOH",0
"2005","REF","seh2","seliqsyn","MeOH",0
"2005","REF","seh2","seel","h2turb",0
"2005","REF","seh2","seel","h2turbVRE",0
"2005","REF","seh2","segabio","h22ch4",0
"2005","REF","seh2","segasyn","h22ch4",0
"2005","CAZ","peoil","seliqfos","refliq",0.176689599185671
"2005","CAZ","peoil","seel","dot",0.0020800877637485
"2005","CAZ","pegas","seliqfos","gasftrec",0
"2005","CAZ","pegas","seliqfos","gasftcrec",0
"2005","CAZ","pegas","seel","ngcc",0.00593833491198456
"2005","CAZ","pegas","seel","ngccc",0
"2005","CAZ","pegas","seel","ngt",0.0010479414550561
"2005","CAZ","pegas","seel","gaschp",0.00122147050338203
"2005","CAZ","pegas","seh2","gash2",0.000104085905515104
"2005","CAZ","pegas","seh2","gash2c",0
"2005","CAZ","pegas","segafos","gastr",0.0837046787524414
"2005","CAZ","pegas","sehe","gashp",0
"2005","CAZ","pecoal","seliqfos","coalftrec",0
"2005","CAZ","pecoal","seliqfos","coalftcrec",0
"2005","CAZ","pecoal","sesofos","coaltr",0.0158531805787792
"2005","CAZ","pecoal","seel","igcc",0
"2005","CAZ","pecoal","seel","igccc",0
"2005","CAZ","pecoal","seel","pc",0.0324102614579875
"2005","CAZ","pecoal","seel","pcc",0
"2005","CAZ","pecoal","seel","pco",0
"2005","CAZ","pecoal","seel","coalchp",0
"2005","CAZ","pecoal","seh2","coalh2",4.46082452207587E-5
"2005","CAZ","pecoal","seh2","coalh2c",0
"2005","CAZ","pecoal","segafos","coalgas",0.00258018636478458
"2005","CAZ","pecoal","sehe","coalhp",0
"2005","CAZ","peur","seel","tnrs",0.0103559454090857
"2005","CAZ","peur","seel","fnrs",0
"2005","CAZ","pegeo","seel","geohdr",0.000355437205923857
"2005","CAZ","pegeo","sehe","geohe",0.000135315031322669
"2005","CAZ","pehyd","seel","hydro",0.0450688813833457
"2005","CAZ","pewin","seel","wind",0.000345001371530239
"2005","CAZ","pewin","seel","windoff",0
"2005","CAZ","pesol","seel","spv",1.06968083893848E-5
"2005","CAZ","pesol","seel","csp",0
"2005","CAZ","pesol","sehe","solhe",0
"2005","CAZ","pebiolc","seliqbio","bioftrec",0
"2005","CAZ","pebiolc","seliqbio","bioftcrec",0
"2005","CAZ","pebiolc","seliqbio","bioethl",0
"2005","CAZ","pebiolc","sesobio","biotr",1.39776317524511E-8
"2005","CAZ","pebiolc","sesobio","biotrmod",0.0244851988668891
"2005","CAZ","pebiolc","seel","biochp",1.89026434299487E-5
"2005","CAZ","pebiolc","seel","bioigcc",0.00148499548089
"2005","CAZ","pebiolc","seel","bioigccc",0
"2005","CAZ","pebiolc","seh2","bioh2",0
"2005","CAZ","pebiolc","seh2","bioh2c",0
"2005","CAZ","pebiolc","segabio","biogas",3.10117279232741E-5
"2005","CAZ","pebiolc","segabio","biogasc",0
"2005","CAZ","pebiolc","sehe","biohp",2.35592896567145E-5
"2005","CAZ","pebios","seliqbio","bioeths",0.000247158797972961
"2005","CAZ","pebioil","seliqbio","biodiesel",0
"2005","CAZ","seel","seh2","elh2",0
"2005","CAZ","seel","seh2","elh2VRE",0
"2005","CAZ","seh2","seliqbio","MeOH",0
"2005","CAZ","seh2","seliqsyn","MeOH",0
"2005","CAZ","seh2","seel","h2turb",0
"2005","CAZ","seh2","seel","h2turbVRE",0
"2005","CAZ","seh2","segabio","h22ch4",0
"2005","CAZ","seh2","segasyn","h22ch4",0
"2005","CHA","peoil","seliqfos","refliq",0.437870541701399
"2005","CHA","peoil","seel","dot",0.0073358871970899
