Year ,Region ,Method                                                                     ,value               ,Market                                         ,score                   ,score_direct            ,total_score         ,total_score_direct
2040 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'agricultural land occupation', 'ALOP')"    , 1.8867762          ,"market group for electricity, low voltage"    ,0.04497789688014727     ,0.042981186012999696    ,23761703100.664516  ,22706846068.7882
2040 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'climate change', 'GWP100')"                , 1.8867762          ,"market group for electricity, low voltage"    ,0.045939523786706155    ,0.03403206298757634     ,24269728033.625492  ,17979048214.92078
2040 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'fossil depletion', 'FDP')"                 , 1.8867762          ,"market group for electricity, low voltage"    ,0.015876855900382285    ,0.0                     ,8387700676.227842   ,0.0
2040 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'freshwater ecotoxicity', 'FETPinf')"       , 1.8867762          ,"market group for electricity, low voltage"    ,0.024713337021345917    ,9.166528551045975e-09   ,13055990112.047222  ,4842.652613885529
2040 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'freshwater eutrophication', 'FEP')"        , 1.8867762          ,"market group for electricity, low voltage"    ,1.579234547438417e-05   ,2.3754216604968896e-11  ,8343054.043308813   ,12.549289351172032
2040 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'human toxicity', 'HTPinf')"                , 1.8867762          ,"market group for electricity, low voltage"    ,0.026683945923993764    ,3.813576058573503e-05   ,14097057545.613962  ,20147020.723777615
2040 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'ionising radiation', 'IRP_HE')"            , 1.8867762          ,"market group for electricity, low voltage"    ,0.07967769153984759     ,0.0005957304068225275   ,42093512179.13122   ,314722786.8985375
2040 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'marine ecotoxicity', 'METPinf')"           , 1.8867762          ,"market group for electricity, low voltage"    ,0.021267519699531067    ,2.8486673625651795e-07  ,11235574000.589783  ,150494.33787933306
2040 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'marine eutrophication', 'MEP')"            , 1.8867762          ,"market group for electricity, low voltage"    ,1.0184157528594572e-05  ,5.036306834176561e-07   ,5380263.291760855   ,266066.7483774071
2040 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'metal depletion', 'MDP')"                  , 1.8867762          ,"market group for electricity, low voltage"    ,0.012791692018593693    ,0.0                     ,6757816816.35551    ,0.0
2040 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'natural land transformation', 'NLTP')"     , 1.8867762          ,"market group for electricity, low voltage"    ,-0.00024482962266743417 ,-0.00024116259828121798 ,-129342837.4290907  ,-127405558.21480563
2040 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'ozone depletion', 'ODPinf')"               , 1.8867762          ,"market group for electricity, low voltage"    ,1.963172689804376e-09   ,0.0                     ,1037.138902131606   ,0.0
2040 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'particulate matter formation', 'PMFP')"    , 1.8867762          ,"market group for electricity, low voltage"    ,6.108056143667564e-05   ,9.005188275496912e-06   ,32268697.888380073  ,4757416.976123452
2040 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'photochemical oxidant formation', 'POFP')" , 1.8867762          ,"market group for electricity, low voltage"    ,0.00010354204448824504  ,1.397073157400652e-05   ,54700986.26713334   ,7380700.272518731
2040 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'terrestrial acidification', 'TAP100')"     , 1.8867762          ,"market group for electricity, low voltage"    ,0.00011622616364440735  ,9.666562124525659e-06   ,61401972.62684045   ,5106819.018665406
2040 ,CAZ    ,"('ReCiPe Midpoint (H) V1.13', 'terrestrial ecotoxicity', 'TETPinf')"      , 1.8867762          ,"market group for electricity, low voltage"    ,1.2631219624153135e-05  ,3.018770143010814e-08   ,6673039.677871021   ,15948.082245489522
